Province/State,Date,Cumulative Cases,Cumulative Tests,Daily Cases,Daily Tests,7 day daily case moving average,14 day daily case moving average,7 day daily test moving average,14 day daily test moving average
NSW,2020-03-09,48,8371,10,363,0,0,0,0
NSW,2020-03-10,55,10165,7,1794,0,0,0,0
NSW,2020-03-11,65,10221,10,56,0,0,0,0
NSW,2020-03-12,92,14856,27,4635,0,0,0,0
NSW,2020-03-13,119,16685,27,1829,0,0,0,0
NSW,2020-03-14,139,20496,20,3811,0,0,0,0
NSW,2020-03-15,161,22567,22,2071,18,0,2080,0
NSW,2020-03-16,198,26964,37,4397,21,0,2656,0
NSW,2020-03-17,237,30244,39,3280,26,0,2868,0
VIC,2020-03-17,94,2500,23,2500,0,0,0,0
NSW,2020-03-18,294,35800,57,5556,33,0,3654,0
VIC,2020-03-18,121,3500,27,1000,0,0,0,0
NSW,2020-03-19,334,39089,40,3289,35,0,3462,0
VIC,2020-03-19,121,5480,0,1980,0,0,0,0
NSW,2020-03-20,380,40651,46,1562,37,0,3424,0
QLD,2020-03-20,184,1322,40,1322,0,0,0,0
VIC,2020-03-20,121,7637,0,2157,0,0,0,0
NSW,2020-03-21,463,46892,83,6241,46,0,3771,0
QLD,2020-03-21,221,2803,37,1481,0,0,0,0
VIC,2020-03-21,229,8800,108,1163,0,0,0,0
NSW,2020-03-22,696,52663,233,5771,76,47,4299,3190
QLD,2020-03-22,259,4245,38,1442,0,0,0,0
VIC,2020-03-22,355,11200,126,2400,0,0,0,0
ACT,2020-03-23,32,194,13,194,0,0,0,0
NSW,2020-03-23,779,56941,83,4278,83,52,4282,3469
QLD,2020-03-23,319,5330,60,1085,0,0,0,0
VIC,2020-03-23,410,12000,55,800,48,0,1714,0
ACT,2020-03-24,39,405,7,211,0,0,0,0
NSW,2020-03-24,928,61848,149,4907,99,62,4515,3692
QLD,2020-03-24,397,6652,78,1322,0,0,0,0
VIC,2020-03-24,466,13300,56,1300,53,0,1543,0
ACT,2020-03-25,48,594,9,189,0,0,0,0
NSW,2020-03-25,1139,68177,211,6329,121,77,4625,4140
QLD,2020-03-25,443,8094,46,1442,0,0,0,0
TAS,2020-03-25,36,133,8,133,0,0,0,0
VIC,2020-03-25,521,13800,55,500,57,0,1471,0
ACT,2020-03-26,62,858,14,264,0,0,0,0
